2026-03-18 12:18:06,160 | INFO | task1_ingestion_schema_missingness | Loading dataset from C:\Users\jackp\Desktop\MSIN0097-Group-Coursework\data\StudentPerformanceFactors.csv
2026-03-18 12:18:06,208 | INFO | task1_ingestion_schema_missingness | Dataset loaded with shape=(6607, 20)
2026-03-18 12:18:06,213 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Parental_Involvement' while preserving null compatibility
2026-03-18 12:18:06,214 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Access_to_Resources' while preserving null compatibility
2026-03-18 12:18:06,216 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Extracurricular_Activities' while preserving null compatibility
2026-03-18 12:18:06,217 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Motivation_Level' while preserving null compatibility
2026-03-18 12:18:06,219 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Internet_Access' while preserving null compatibility
2026-03-18 12:18:06,220 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Family_Income' while preserving null compatibility
2026-03-18 12:18:06,222 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Teacher_Quality' while preserving null compatibility
2026-03-18 12:18:06,224 | INFO | task1_ingestion_schema_missingness | Normalized string column 'School_Type' while preserving null compatibility
2026-03-18 12:18:06,225 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Peer_Influence' while preserving null compatibility
2026-03-18 12:18:06,227 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Learning_Disabilities' while preserving null compatibility
2026-03-18 12:18:06,228 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Parental_Education_Level' while preserving null compatibility
2026-03-18 12:18:06,230 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Distance_from_Home' while preserving null compatibility
2026-03-18 12:18:06,230 | INFO | task1_ingestion_schema_missingness | Normalized string column 'Gender' while preserving null compatibility
2026-03-18 12:18:06,262 | INFO | task1_ingestion_schema_missingness | Saved schema report to C:\Users\jackp\Desktop\MSIN0097-Group-Coursework\outputs\task1_ingestion_schema_missingness\schema_report.json
2026-03-18 12:18:06,269 | INFO | task1_ingestion_schema_missingness | Saved pre-imputation missingness report
2026-03-18 12:18:06,275 | WARNING | task1_ingestion_schema_missingness | Filled 78 missing values in categorical column 'Teacher_Quality' with mode='Medium'
2026-03-18 12:18:06,277 | WARNING | task1_ingestion_schema_missingness | Filled 90 missing values in categorical column 'Parental_Education_Level' with mode='High School'
2026-03-18 12:18:06,278 | WARNING | task1_ingestion_schema_missingness | Filled 67 missing values in categorical column 'Distance_from_Home' with mode='Near'
2026-03-18 12:18:06,280 | INFO | task1_ingestion_schema_missingness | Remaining missing values after handling: 0
2026-03-18 12:18:06,302 | INFO | task1_ingestion_schema_missingness | Saved cleaned dataset and missing-value strategy
